id/s,review_count/n,categories/s,rating/n,like
MNNpsRXe7Wt5m3Jla9Wk0w,427,American,5,1
UtknyDJ_DPut-FKRqs0wpQ,145,Indian,5,1
_7BGw3YFNOTzP1Www3zB7g,143,Indian,5,1
MmXZLVwWcYugi_TXSHmjeQ,143,Japanese,5,1
AFt1Qcec4_JNr6PWpkRYyw,85,Japanese,5,1
Je2MuObgrne2wSKhD5MZ0w,85,Japanese,5,1
e3JALGueMcc2eLXRK8HPNQ,83,Japanese,5,1
8G6H30Krmj8-OHs6hZfT1g,76,American,5,1
HMyWIC0qcKOH29qquCH2Dg,72,Japanese,5,1
ynR4-QgEOsE7VhNfIWo73w,56,Japanese,5,1
RSSe0b5ozB5T7uxPe246KQ,53,Indian,5,1
f7QVr9xC8UWXdVz9QvbmNg,49,Chinese,5,1
fUcjBGgmTlvxXn2azvAijw,45,Chinese,5,1
wPDNt1enVbzu01s0sVAvsw,43,Indian,5,1
oux6Pz_hRhJIiGs8EuT6pg,42,American,5,1
xEnNFXtMLDF5kZDxfaCJgA,8753,Indian,4.5,1
veq1Bl1DW3UWMekZJUsG1Q,2460,American,4.5,1
b8a-8u_A51v2IzyjLVsx6w,2392,American,4.5,1
jnEv25Y2DosTq2sNnvmC9g,2130,Mexican,4.5,1
ETgJqJHV7BW6pIr9Ox74sA,1979,American,4.5,1
nRO136GRieGtxz18uD61DA,1768,American,4.5,1
qLLxS7RwNEjP_jq_KQrPfA,1731,American,4.5,1
PBUIaPtgnhmdHE3KHglK-g,1676,American,4.5,1
9YXvNE2jpEhA4k6M8WDH7A,412,American,4.5,1
6gDUVNZo0E9lxO2DkAhHOQ,410,American,4.5,1
s3jou_L_LVYGkNHiuhjlew,410,Japanese,4.5,1
JXcYD52B4190gIh6_RSXCg,401,American,4.5,1
unWoFZeSWa0DK1YMekO_Uw,399,American,4.5,1
wctR1TrheHAwpHZ2sJknEw,387,Indian,4.5,1
FsuJ7VC5vxX3wcLhFrb97Q,379,Japanese,4.5,1
dgU5NoylJVJ5rDZY_PezkA,375,Japanese,4.5,1
mc9lvusD4Na-KXT2z4ulzQ,189,Indian,4.5,1
