id/s,review_count/n,categories/s,rating/n
MNNpsRXe7Wt5m3Jla9Wk0w,427,American,5
UtknyDJ_DPut-FKRqs0wpQ,145,Indian,5
_7BGw3YFNOTzP1Www3zB7g,143,Indian,5
MmXZLVwWcYugi_TXSHmjeQ,143,Japanese,5
AFt1Qcec4_JNr6PWpkRYyw,85,Japanese,5
Je2MuObgrne2wSKhD5MZ0w,85,Japanese,5
e3JALGueMcc2eLXRK8HPNQ,83,Japanese,5
8G6H30Krmj8-OHs6hZfT1g,76,American,5
HMyWIC0qcKOH29qquCH2Dg,72,Japanese,5
ynR4-QgEOsE7VhNfIWo73w,56,Japanese,5
RSSe0b5ozB5T7uxPe246KQ,53,Indian,5
f7QVr9xC8UWXdVz9QvbmNg,49,Chinese,5
fUcjBGgmTlvxXn2azvAijw,45,Chinese,5
wPDNt1enVbzu01s0sVAvsw,43,Indian,5
oux6Pz_hRhJIiGs8EuT6pg,42,American,5
MIaM6XD8nW-y89GaXxs-pw,36,Mexican,5
yLcJTiE4n_w4sZwSfMZYZA,33,Indian,5
HsEK7jGmzI7KP1e0N_6uQw,29,Indian,5
jF9hIgD5MvZBXyKvztUtSA,28,Mexican,5
4W0qF6C0KDmGDOc4pR3CkQ,25,American,5
LjAt-SP7BwIpp56TZHVsWA,23,Japanese,5
dUfTg2SJ2nH48J8VhAuZ_A,22,Chinese,5
snJZrvebNxanqMmWPhqndg,22,Japanese,5
cOUYYcrOeManYPyuun_xVg,21,Mexican,5
HVWlYTXsR9Vx9ZoxJQa2zg,19,Indian,5
X7T2c8sme_b3YQFX38buVA,17,Mexican,5
tA_AoGEL_oGllbU2j77Shw,16,Chinese,5
RkVlK77T0oeilmMICMVkjg,16,Japanese,5
y1192qiuwi3m0tqdt1Dh7g,15,American,5
3rZwXDjkyDLAHNSdPUI5WA,15,Indian,5
W9jvfWo198fX_kmYptnh1g,14,American,5
D37laxSajXqhhsaCYo4WSw,14,Mexican,5
6tJB7AWwVzccgJdOMWUYkQ,13,Japanese,5
g2LFwlFjAd9RdGC3zxwkYQ,12,Mexican,5
qmoA7CY8hhU4RIUGAfRYhg,12,Mexican,5
HdHT_9doAtEO02YErevNCw,11,Japanese,5
HGLH-sa-Fp3X6UXcaG7U0g,11,Japanese,5
jva4AMX7zRkNsY3DKX9LlQ,11,Japanese,5
A_fZL0ir_actclrL-ePTOw,10,Chinese,5
txfjMwfqr0HXNFZTJTkYiA,10,Indian,5
zdgJUdnxkRmmtb4qIk0ZHg,10,Japanese,5
Se4apMuvT6LQuC4vqAaYpg,9,American,5
DgFso8KK5MYTIYVmOmaYRA,9,Indian,5
Nd1siXnY8NiOn4Gn-AgWSQ,9,Japanese,5
EX2-miBJq6G8SSU1-CAaug,9,Mexican,5
4Hxhgx2AufLIuhrqyz_7IA,8,Indian,5
i6RhqnCJ_oUfTu5LikGXUg,7,Chinese,5
u5Vb4cotspGQWQIAG6B-_g,7,Chinese,5
ocnHpILS80DHL--34L8xpw,7,Japanese,5
1RH0vDVLgWrzJ2T0-PGM3w,7,Mexican,5
J_Nb9O4fKYwz28gkl-Y-_Q,7,Mexican,5
5K9dDoK_BLgAAAvedRxemQ,6,Indian,5
GBk_i2qnjMtQIt_ntJpzbw,6,Japanese,5
nV-LbnEV_2OwXvXRany1sg,6,Mexican,5
tk5cnLJDAlUmX_ZYBGzw1w,6,Mexican,5
X5sTOOvtKgZHd5F6-Usr6g,6,Mexican,5
k_y6o8zqI3cODdKABwWZ9g,5,Chinese,5
z2ffmGBEhNUrmYEAWGx1Vw,5,Chinese,5
8xIoNFPmYPz94xBioimvQQ,5,Indian,5
kNzjRlXzL5XJInDqNwfMgA,5,Indian,5
phEamT8HRnu-RFFoCbJ5Bg,5,Indian,5
qKij-vcpUh9a2X_OrdR2QA,5,Japanese,5
MJr3nlShGfwBQZKqc2TvkQ,5,Mexican,5
T0ZLnzByb3z0VYQ7hd1icA,5,Mexican,5
WEa266y5CsANNqvyfG7elA,4,Chinese,5
YE2FPm9o32ojTG2_1pJBYw,4,Chinese,5
4SK9aWKC-Qwk-cqS2dWbfw,4,Indian,5
c5vz72Q9mAmRs2NZUsWpRQ,4,Indian,5
f-r5eSgWBVmayNSXD2hkpQ,4,Indian,5
48SiuLKz2aI_QKgcs9GtZg,4,Japanese,5
hHzngEBZs7iLE42Zv3MHXg,4,Japanese,5
ltDui1Uf0CYV5OT8mpwNuA,4,Japanese,5
l9-qUMM99-8yxZ5uQD2Vyg,4,Mexican,5
lufU8ekWvTy4SBuHRnkAqg,4,Mexican,5
v3dmPrIDJsvPII0WACZvpg,4,Mexican,5
fnylA1RJhFui3gt8RXlznw,3,Chinese,5
uamIIAKNHqBCR50IpEi-TQ,3,Chinese,5
JATyH-KGyi8GH_KUVLid2w,3,Indian,5
w2-VGvlBCMYo9ko8Y_PzAw,3,Indian,5
A-a2ByqrzrMBUGRN_GlClg,3,Mexican,5
jf95dOTlZB7oPWz9JLgaQA,3,Mexican,5
6KrznDMeNCMA9wQrr6qwLA,2,Indian,5
IdZ9HpVlPA4nVK20-VNQxg,2,Indian,5
#NAME?,2,Indian,5
AQaW1dsOhh2aD0qEX8RYZA,2,Japanese,5
gPn_MadQRUNClx67z-tQ5g,2,Japanese,5
AGwgDMaC6m4CjOohQRIBcQ,2,Mexican,5
bly3jHNlMEiNCDTYB-qbrQ,2,Mexican,5
EHdC-1lUdVCzUgcQus4wNQ,2,Mexican,5
LYDx1mo23fYTIUOpi7UojA,2,Mexican,5
TlrkRdpXjSG-4RdabVD_PQ,2,Mexican,5
tQDQ_hR2NNXuvkgNDc0obw,2,Mexican,5
UlGSfUiVs4V5oH9C4AHD5w,2,Mexican,5
9F3MR4JeKs7XukUzKQGc_w,1,Chinese,5
FOmtg0myxeFxKfxylzqSBw,1,Chinese,5
gvAzBcK3YZf6UQqOerqF2w,1,Chinese,5
IQ5i53Mt-xFE73eJZZMt-A,1,Chinese,5
NFa2F3vQaZ0WPpcA1aI7AQ,1,Chinese,5
_ZxbRvQDWD3uVu3o9df82A,1,Indian,5
5W2j5LFdJoWDOj2efIljUA,1,Indian,5
CxvXmplrCyvnHIGDrNKRyg,1,Indian,5
EVaeiIE_p0m2LkeG6rhh2g,1,Indian,5
I8rG7zAwNbBOji-R8MYwcQ,1,Indian,5
K7u5sEQW1LcIJxjpUS1STg,1,Indian,5
pMdhVoZuxIQGYOD8tsWMpA,1,Indian,5
Pqp4dGeEwCG1cH9mZq2rJA,1,Indian,5
QEudjEGzNalNUN2V2dZVJA,1,Indian,5
Tl62WKPOTpGfhSTcHNKkLQ,1,Indian,5
#NAME?,1,Indian,5
ckQo_h2SQn7GpqNSio6XFg,1,Japanese,5
HDoJIH-qW9FqJ5WB-bKTqA,1,Japanese,5
vlZ9k3e_1N_h_ybhrl278g,1,Japanese,5
4wDGKf3dsSo2b3svJHh-qw,1,Mexican,5
aj-cNy6I_1vp_hZ5UKQkbg,1,Mexican,5
fHMJAA4zGq2XuuIB_EGUjw,1,Mexican,5
Hgd9S3yF78Yv6mewc44QVQ,1,Mexican,5
HRVwC0lKr6nMw_IsxQFg8A,1,Mexican,5
KF6SeIlSSy3ZJ_uAwL1TYQ,1,Mexican,5
NlouHE3sXGxeLn7UdXsvzg,1,Mexican,5
qiiRhWjklqzxS4ApGKLP-Q,1,Mexican,5
RwHvEJexGnoSmo9X446UbQ,1,Mexican,5
xEnNFXtMLDF5kZDxfaCJgA,8753,Indian,4.5
veq1Bl1DW3UWMekZJUsG1Q,2460,American,4.5
b8a-8u_A51v2IzyjLVsx6w,2392,American,4.5
jnEv25Y2DosTq2sNnvmC9g,2130,Mexican,4.5
ETgJqJHV7BW6pIr9Ox74sA,1979,American,4.5
nRO136GRieGtxz18uD61DA,1768,American,4.5
qLLxS7RwNEjP_jq_KQrPfA,1731,American,4.5
PBUIaPtgnhmdHE3KHglK-g,1676,American,4.5
#NAME?,1615,Chinese,4.5
tiSw-6DIm3-mMORyEIOVyg,1584,Chinese,4.5
